Source,Family,Genera,Species,Individuals Observed,Location,Longitude,Latitude,Country,Usual Pattern,Unusual Pattern,Pattern Notes,Iris color,Lifestage,Citation,Year,Notes
iNat,Hylidae,Hyla,Hyla cinerea ,1,"North Carolina, USA",35.82915151,-79.05813306,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/89464187,2021,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"North Carolina, USA",35.849705,-78.41965397,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/39489847,2020,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"North Carolina, USA",36.54099973,-75.99344558,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/45783613,2020,
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Oklahoma, USA",35.3227704,-94.5460037,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/82558908,2021,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Oklahoma, USA",35.9269638,-95.21192876,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/93431074,2020,dead/injured
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Ontario, Canada",43.70504095,-90.57940967,Canada,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/46577267,2014,hibernating?
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Ontario, Canada",44.48261,-77.29626,Canada,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/47433608,2020,hibernating?
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Ontario, Canada",45.17137137,-78.84278633,Canada,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/24943378,2019,hibernating?
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Ontario, Canada",45.43090556,-75.59535278,Canada,Brown,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/32940719,2019,golf course
iNat,Hylidae,Hyla,Hyla meridionalis,1,"Portalegre, Portugal",39.52014979,-7.657974793,Portugal,Green,Blue,Partial body,N/A,Juvenile?,https://www.inaturalist.org/observations/42766540,2019,duplicate record? https://www.inaturalist.org/observations/34867595
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Quebec, Canada",45.38759176,-74.19337485,Canada,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/93268346,2021,
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Quebec, Canada",47.36702167,-79.37270333,Canada,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/27188306,2019,
iNat,Hylidae,Hyla,Hyla japonica,1,"Seosan, Chungcheongnam-do, South Korea",36.747515,126.44156,South Korea,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/27018371,2019,
iNat,Hylidae,Hyla,Hyla japonica,1,"Sinheung-dong, South Korea",35.93972397,126.9858322,South Korea,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/3241029,2016,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"South Carolina, USA",32.29778184,-81.09587308,USA,Green ,Blue ,Whole body ,N/A,Adult,https://www.inaturalist.org/observations/18832358,2018,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"South Carolina, USA",32.92018383,-80.08542225,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/79428646,2021,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"South Carolina, USA",33.43110531,-79.1540935,USA,Green,Blue,Partial body,N/A,Adult,https://www.inaturalist.org/observations/72896083,2021,
iNat,Hylidae,Hyla,Hyla meridionalis,1,Spain,42.222131,3.093094,Spain,Green,Blue,Whole body,N/A,Adult,https://www.inaturalist.org/observations/102735164,2014,
iNat,Hylidae,Hyla,Hyla versicolor - chrysoscelis (complex),1,"Tenessee, USA",36.3062077,-86.62553395,USA,Green,Blue,Partial body ,N/A,Adult,https://www.inaturalist.org/observations/26582573,2019,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Texas, USA",29.30441333,-95.283875,USA,Green ,Blue ,Partial body,N/A,Adult,https://www.inaturalist.org/observations/82328644,2021,
iNat,Hylidae,Hyla,Hyla cinerea ,1,"Texas, USA",29.636732,-95.660512,USA,Green ,Blue ,Whole body ,N/A,Adult,https://www.inaturalist.org/observations/2118470,2015,
iNat,Hylidae,Hyla,Hyla cinerea ,1,USA,38.79246177,-77.14830847,USA,Green,Blue,Full body,N/A,Adult,https://www.inaturalist.org/observations/95065087,2021,
